CMDLINE /home/mdzaja/installations/miniconda3/envs/mt/bin/python hp_opt.py
MEM 0.507812 1702668298.0716
MEM 37.792969 1702668298.1718
MEM 90.933594 1702668298.2719
MEM 117.753906 1702668298.3721
MEM 147.769531 1702668298.4722
MEM 166.804688 1702668298.5723
MEM 251.535156 1702668298.6725
MEM 399.488281 1702668298.7726
MEM 417.140625 1702668298.8727
MEM 430.269531 1702668298.9729
MEM 455.347656 1702668299.0730
MEM 465.074219 1702668299.1732
MEM 497.406250 1702668299.2733
MEM 509.687500 1702668299.3735
MEM 517.304688 1702668299.4737
MEM 546.285156 1702668299.5739
MEM 559.152344 1702668299.6740
MEM 568.605469 1702668299.7742
MEM 570.210938 1702668299.8744
MEM 570.644531 1702668299.9745
MEM 580.285156 1702668300.0746
MEM 585.683594 1702668300.1748
MEM 609.906250 1702668300.2750
MEM 636.914062 1702668300.3752
MEM 636.914062 1702668300.4753
MEM 649.207031 1702668300.5755
MEM 888.371094 1702668300.6756
MEM 1067.917969 1702668300.7758
MEM 1250.214844 1702668300.8759
MEM 1402.441406 1702668300.9761
MEM 1476.906250 1702668301.0762
MEM 1618.933594 1702668301.1764
MEM 1745.703125 1702668301.2766
MEM 1953.292969 1702668301.3767
MEM 1954.144531 1702668301.4769
MEM 1993.542969 1702668301.5770
MEM 2002.500000 1702668301.6772
MEM 2002.960938 1702668301.7774
MEM 2003.078125 1702668301.8775
MEM 2003.113281 1702668301.9776
MEM 2003.113281 1702668302.0777
MEM 2003.394531 1702668302.1779
MEM 2003.507812 1702668302.2780
MEM 2003.601562 1702668302.3782
MEM 2003.882812 1702668302.4784
MEM 2004.140625 1702668302.5785
MEM 2007.488281 1702668302.6787
MEM 2012.863281 1702668302.7788
MEM 2013.359375 1702668302.8790
MEM 2014.437500 1702668302.9792
MEM 2015.000000 1702668303.0793
MEM 2002.480469 1702668303.1795
MEM 2003.421875 1702668303.2796
MEM 2003.968750 1702668303.3798
MEM 2004.867188 1702668303.4800
MEM 2005.636719 1702668303.5801
MEM 2005.894531 1702668303.6803
MEM 2009.503906 1702668303.7804
MEM 2016.632812 1702668303.8806
MEM 2017.171875 1702668303.9808
MEM 2018.015625 1702668304.0809
MEM 2018.527344 1702668304.1811
MEM 2019.042969 1702668304.2812
MEM 2020.089844 1702668304.3814
MEM 2020.316406 1702668304.4815
MEM 2021.406250 1702668304.5817
MEM 2021.921875 1702668304.6819
MEM 2022.953125 1702668304.7821
MEM 2026.933594 1702668304.8823
MEM 2038.074219 1702668304.9825
MEM 2041.148438 1702668305.0827
MEM 2047.660156 1702668305.1829
MEM 2048.171875 1702668305.2831
MEM 2034.648438 1702668305.3833
MEM 2034.808594 1702668305.4835
MEM 2036.085938 1702668305.5837
MEM 2036.726562 1702668305.6838
MEM 2037.238281 1702668305.7840
MEM 2037.554688 1702668305.8842
MEM 2038.390625 1702668305.9844
MEM 2038.902344 1702668306.0845
MEM 2039.792969 1702668306.1847
MEM 2040.464844 1702668306.2849
MEM 2041.046875 1702668306.3851
MEM 2041.890625 1702668306.4853
MEM 2041.898438 1702668306.5855
MEM 2042.871094 1702668306.6856
MEM 2043.457031 1702668306.7858
MEM 2043.968750 1702668306.8859
MEM 2044.238281 1702668306.9860
MEM 2045.058594 1702668307.0861
MEM 2045.714844 1702668307.1863
MEM 2046.511719 1702668307.2864
MEM 2046.843750 1702668307.3865
MEM 2047.375000 1702668307.4866
MEM 2048.199219 1702668307.5867
MEM 2048.214844 1702668307.6869
MEM 2049.179688 1702668307.7870
MEM 2049.746094 1702668307.8871
MEM 2050.257812 1702668307.9872
MEM 2051.332031 1702668308.0873
MEM 2051.351562 1702668308.1875
MEM 2052.324219 1702668308.2876
MEM 2052.906250 1702668308.3878
MEM 2053.160156 1702668308.4879
MEM 2053.695312 1702668308.5880
MEM 2054.523438 1702668308.6881
MEM 2054.835938 1702668308.7882
MEM 2055.707031 1702668308.8884
MEM 2056.363281 1702668308.9885
MEM 2056.812500 1702668309.0886
MEM 2057.210938 1702668309.1887
MEM 2057.640625 1702668309.2888
MEM 2059.183594 1702668309.3890
MEM 2061.246094 1702668309.4891
MEM 2061.585938 1702668309.5892
MEM 2061.976562 1702668309.6893
MEM 2062.382812 1702668309.7894
MEM 2062.726562 1702668309.8896
MEM 2064.269531 1702668309.9897
MEM 2066.074219 1702668310.0898
MEM 2066.660156 1702668310.1900
MEM 2067.066406 1702668310.2901
MEM 2067.464844 1702668310.3902
MEM 2067.835938 1702668310.4904
MEM 2069.324219 1702668310.5905
MEM 2071.125000 1702668310.6906
MEM 2071.730469 1702668310.7908
MEM 2071.785156 1702668310.8910
MEM 2071.792969 1702668310.9912
MEM 2071.792969 1702668311.0913
MEM 2071.796875 1702668311.1915
MEM 2071.796875 1702668311.2916
MEM 2071.796875 1702668311.3917
MEM 2071.816406 1702668311.4919
MEM 2071.820312 1702668311.5920
MEM 2071.820312 1702668311.6922
MEM 2071.828125 1702668311.7923
MEM 2071.828125 1702668311.8925
MEM 2071.828125 1702668311.9927
MEM 2071.839844 1702668312.0928
MEM 2071.843750 1702668312.1930
MEM 2071.847656 1702668312.2932
MEM 2065.917969 1702668312.3933
MEM 2066.964844 1702668312.4935
MEM 2069.027344 1702668312.5937
MEM 2069.285156 1702668312.6939
MEM 2069.554688 1702668312.7940
MEM 2069.582031 1702668312.8943
MEM 2070.195312 1702668312.9945
MEM 2070.898438 1702668313.0946
MEM 2071.664062 1702668313.1947
MEM 2072.101562 1702668313.2949
MEM 2072.859375 1702668313.3951
MEM 2073.656250 1702668313.4953
MEM 2074.132812 1702668313.5954
MEM 2074.890625 1702668313.6956
MEM 2075.718750 1702668313.7958
MEM 2076.246094 1702668313.8959
